old_url,new_url,classification,redirect_status,confidence,inventory_source,reason
https://rnrgallery.com/,https://rnrgallery.com/,existing-route,none,high,page-sitemap,Current home path is unchanged
https://rnrgallery.com/order-system/,https://rnrgallery.com/order-system,protected-route,none,medium,page-sitemap,Portal requires its existing authentication flow
https://rnrgallery.com/elementor-5897/,,retired-410,410,low,page-sitemap,No current equivalent; retired with 410
https://rnrgallery.com/contact/,https://rnrgallery.com/contact,existing-route,none,high,page-sitemap,Current contact path is unchanged
https://rnrgallery.com/cookies-policy/,https://rnrgallery.com/privacy,exact-301,301,high,page-sitemap,Current privacy-policy equivalent after Analytics disclosure correction
https://rnrgallery.com/about-rr/,https://rnrgallery.com/about,exact-301,301,high,page-sitemap,Direct about-page equivalent
https://rnrgallery.com/how-it-works/,https://rnrgallery.com/how-it-works,existing-route,none,high,page-sitemap,Current how-it-works path is unchanged
https://rnrgallery.com/cart/,https://rnrgallery.com/cart,protected-route,none,medium,page-sitemap,Do not imply legacy cart continuity
https://rnrgallery.com/gallery/,https://rnrgallery.com/design-gallery,exact-301,301,high,page-sitemap,Direct gallery equivalent
https://rnrgallery.com/checkout/,https://rnrgallery.com/checkout,protected-route,none,medium,page-sitemap,Do not imply legacy checkout continuity
https://rnrgallery.com/my-account/,,retired-410,410,medium,page-sitemap,Protected account route is not an equivalent legacy destination; retired with 410
https://rnrgallery.com/product/digital-oil-painting-with-canvas/,https://rnrgallery.com/products/digital-oil-painting-canvas,exact-301,301,high,product-sitemap,Direct product-family equivalent
https://rnrgallery.com/product/free-professional-custom-design/,,retired-410,410,low,product-sitemap,No approved one-to-one current equivalent; retired with 410
https://rnrgallery.com/product/free-professional-custom-design-2/,,retired-410,410,low,product-sitemap,No approved one-to-one current equivalent; retired with 410
https://rnrgallery.com/product/banner-bundle/,https://rnrgallery.com/products/banner-bundle,exact-301,301,high,product-sitemap,Direct product-family equivalent
https://rnrgallery.com/product/your-loss-of-loved-one/,,retired-410,410,low,product-sitemap,No approved one-to-one current equivalent; retired with 410
https://rnrgallery.com/product/five-faces-customized-digital-oil-painting-with-canvas/,https://rnrgallery.com/products/digital-oil-painting-canvas,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/four-faces-customized-digital-oil-painting-with-canvas/,https://rnrgallery.com/products/digital-oil-painting-canvas,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/three-faces-customized-digital-oil-painting-with-canvas/,https://rnrgallery.com/products/digital-oil-painting-canvas,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/custom-heart-shaped-photo-collage-on-canvas/,https://rnrgallery.com/products/custom-themed-canvas,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/custom-number-photo-collage-with-canvas/,https://rnrgallery.com/products/custom-themed-canvas,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/portrait-photo-printing-with-canvas/,https://rnrgallery.com/products/photo-print-canvas,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/custom-daddy-photos-collage-with-canvas/,https://rnrgallery.com/products/custom-themed-canvas,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/two-faces-customized-digital-oil-painting-with-canvas/,https://rnrgallery.com/products/digital-oil-painting-canvas,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
https://rnrgallery.com/product/landscape-photo-printing/,https://rnrgallery.com/products/photo-print-canvas,exact-301,301,medium,product-sitemap,Approved current product equivalent for the legacy offer
